Url,Type,Title,Publisher Place,Publisher,Date,Authors,Volume,Language,Pages
https://www.biodiversitylibrary.org/page/17580364,Monograph/Item,WÃ¶hler's Outlines of organic chemistry  ,"Philadelphia,","H.C. Lea,",1873,Making of America Project       ,,English,Page 465
https://www.biodiversitylibrary.org/page/36714619,,xian dai hua fen ying yong yan jiu  ,,ke xue chu ban she,1990,zhang jin tan wang ping li hao hai ping chen song bo       ,,Chinese,Page 67
https://www.biodiversitylibrary.org/page/36714630,,xian dai hua fen ying yong yan jiu  ,,ke xue chu ban she,1990,zhang jin tan wang ping li hao hai ping chen song bo       ,,Chinese,Page 78
https://www.biodiversitylibrary.org/page/36714631,,xian dai hua fen ying yong yan jiu  ,,ke xue chu ban she,1990,zhang jin tan wang ping li hao hai ping chen song bo       ,,Chinese,Page 79
https://www.biodiversitylibrary.org/page/36714697,,xian dai hua fen ying yong yan jiu  ,,ke xue chu ban she,1990,zhang jin tan wang ping li hao hai ping chen song bo       ,,Chinese,Page 145
https://www.biodiversitylibrary.org/page/30810247,Serial,Yearbook of agriculture.    ,Washington,U.S.  Govt. Print. Off.,1898,United States.  Dept. of Agriculture.     ,1898,English,Page 388
https://www.biodiversitylibrary.org/page/36667547,,yun nan zhi wu zhi  ,,ke xue chu ban she,1977,yun nan sheng zhi wu yan jiu suo       ,1,Chinese,Page 567
https://www.biodiversitylibrary.org/page/36667548,,yun nan zhi wu zhi  ,,ke xue chu ban she,1977,yun nan sheng zhi wu yan jiu suo       ,1,Chinese,Page 568
https://www.biodiversitylibrary.org/page/36667836,,yun nan zhi wu zhi  ,,ke xue chu ban she,1977,yun nan sheng zhi wu yan jiu suo       ,1,Chinese,Page 856
https://www.biodiversitylibrary.org/page/44848659,Monograph/Item,Yunnan zhong zi zhi wu ming lu /  ,Kunming Shi :,Yunnan ren min chu ban she :,1984,Zhongguo ke xue yuan.  Kunming zhi wu yan jiu suo.     ,xia ce,Chinese,Page 1736
https://www.biodiversitylibrary.org/page/36552177,,zhong guo zhong zi zhi wu ke shu ci dian  ,,ke xue chu ban she,1982,"Hou, Kuanzhao ä_¯å®_æ˜_       ",,Chinese,Page 267
