,Abroma augustum ,Abrus precatorius ,Mimosa arborea L.,Mimosa filicifolia Lmk,Mimosa brachbyloba Vent.,Mimosa illinoensis Mich.,Mimosa discolor Andr.,Mimosa botrycephala Vent.,Mimosa faleata Willd. ,Mimosa obliqua Vent. ,Mimosa farnesiana L.,Mimosa floribunda Vent. ,Mimosa glauea L.,Mimosa glaucescens Willd.,Mimosa binervia Wend.,Mimosa julibrissin Ait.,Mimosa iatronum L.,Mimosa lebbek L. ,Mimosa pennata L.,Mimosa pulcherrina Willd.,Mimosa speciosa Willd.,Mimosa suaveolens sm. ,Mimosa vera Willd.,Mimosa nilotica L.,Acalypha carolinia Mich.,Acalypha virginica L.,Acanthus mollis L. ,Acanthus spinosus L.,Acer dasycarpum Ehrt.,Aralia nudicaulis,Anemone hepatica ,Asarum canadense ,Betula vulgaris ,Calendula officinalis,Cornus florida,Circaea alpina ,Collinsonia canadensis,Convolvulus batatas,Chelone formosa,Chelone glabra ,Gnaphalium obtusifolium,Helenium autumnale,Monarda didyma,Kalmia angustifolia,Lilium philadelphicum ,Lilium superbum,Lunaria annus,Lysimachia quadrifolia ,Medeola virginica ,Mimulus ringens ,Melanthium virginicum,Lobelia cardinalis ,Polygala senega ,Prunus avium ,Quercus alba,Rosa alba,Rubus odoratus,Rudbeckia perfoliata,Sagittaria latifolia ,Trillium erectum ,Saxifraga virgiana,Zanthoxylum americanum ,Viola canadensis,Veronica virginica,Verbascum blattarium ,Zea mays ,Alisma trivialis,Arisaema triphyllum,Erythronium americanum,Smilacina racemosa,Maianthemum canadense,Cypripedium calceolus,Calopogon tuberosus,Saururus cernuus,Aristolochia serpentaria,Phytolacca decandra,Caltha palustris ,Coptis trifolia,Sanguinaria canadensis,Dentaria diphylla,Sarracenia purpurea,Mitella diphylla,Baptisia tinctoria,Lupinus perennis,Apios americana,Ludwigia palustris,Staphylea trifolia,Circaea quadrisulcata,Steironema ciliatum,Asclepias tuberosa,Verbena hastata,Hedeoma pulegioides,Pycnanthemum incanum ,Collinsonia canadensis,Aureolaria virginica,Melampyrum lineare,Pedicularis canadensis,Sambucus canadensis,Lobelia cardinalis,Solidago sqarrosa,Gnaphalium obtusifolium,Ambrosia artemisiifolia,Rudbeckia triloba
David Hosack ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jane Colden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,1,0,0,1,1,1,1,1,0,1,1,1,0,1,1,0,1,0,1,0,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
